name,symbol,price,day,time,date,minute
Nexj Systems Inc,NXJ,13.49,Thursday,12:43,20200924,1242
New Gold Inc,NGD,1.6626,Thursday,12:43,20200924,1242
Nextsource Materials Inc,NEXT,2.9,Thursday,12:43,20200924,1242
Neptune Wellness Solutions Inc,NEPT,2.22,Thursday,12:43,20200924,1242
New Millennium Iron Corp,NML,2.36,Thursday,12:43,20200924,1242
Nexgen Energy Ltd,NXE,1.65,Thursday,12:43,20200924,1242
Neovasc Inc,NVCN,2.06,Thursday,12:43,20200924,1242
Resolute Forest Products Inc,RFP,4.37,Thursday,12:43,20200924,1242
Canopy Rivers Inc,RIV,14.37,Thursday,12:43,20200924,1242
RBC Target 2021 Corp Bond Index ETF,RQI,10.81,Thursday,12:43,20200924,1242
RBC Quant Emrg Mkts Div Leaders ETF,RXD,12.6,Thursday,12:43,20200924,1242
RBC US Banks Yield Index ETF CAD,RUBY,4.58,Thursday,12:43,20200924,1242
Powershares 1 To 3 Yr Lad Float Rate ETF,PFL,9.95,Thursday,12:43,20200924,1242
Purpose Intl Dividend Fund ETF,PID,12.52,Thursday,12:43,20200924,1242
Sprott Physical Gold Trust CAD,PHYS,14.96,Thursday,12:43,20200924,1242
CPI Card Group Inc,PMTS,1.86,Thursday,12:43,20200924,1242
Purpose Multi Strategy Mkt Neutral Fund,PMM,7.72,Thursday,12:43,20200924,1242
Platinum Group Metals Ltd,PTM,10.47,Thursday,12:43,20200924,1242
Prairie Provident Resources Inc,PPR,4.45,Thursday,12:43,20200924,1242
RBC Quant Global Infras Leaders ETF,RIG,0.9152,Thursday,12:43,20200924,1242
Purpose Enhanced Dividend Fund ETF,PDIV,0.06,Thursday,12:43,20200924,1242
Sentry Select Primary Metals Corp,PME,1.41,Thursday,12:43,20200924,1242
Pretium Resources Inc,PVG,12.54,Thursday,12:43,20200924,1242
Picton Mahoney Multi Strat Alt Fund ETF,PFMS,0.003,Thursday,12:43,20200924,1242
Purpose Best Ideas Fund ETF,PBI,5.05,Thursday,12:43,20200924,1242
Phx Energy Services Corp,PHX,1.66,Thursday,12:43,20200924,1242
Peyto Exploration and Dvlpmnt Corp,PEY,13.98,Thursday,12:43,20200924,1242
Purpose Diversified Real Asset Fund ETF,PRA,14.51,Thursday,12:43,20200924,1242
Americas Silver Corp,USA,5.8,Thursday,12:43,20200924,1242
Tecsys Inc J,TCS,6.32,Thursday,12:43,20200924,1242
Trisura Group Ltd,TSU,12.19,Thursday,12:43,20200924,1242
Primo Water Corporation,PRMW,13.85,Thursday,12:43,20200924,1242
Transatlantic Petroleum Ltd,TNP,7.3,Thursday,12:43,20200924,1242
Trillium Therapeutics Inc,TRIL,13.73,Thursday,12:43,20200924,1242
Trevali Mining Corp,TV,6.24,Thursday,12:43,20200924,1242
Turquoise Hill Resources Ltd,TRQ,0.8256,Thursday,12:43,20200924,1242
TD S&P TSX Capped Comp Index ETF,TTP,12.01,Thursday,12:43,20200924,1242
Vermilion Energy Inc,VET,2.56,Thursday,12:43,20200924,1242
Village Farms International Inc,VFF,4.87,Thursday,12:43,20200924,1242
The Second Cup Ltd,SCU,11.05,Thursday,12:43,20200924,1242
Vista Gold Corp,VGZ,1.1,Thursday,12:43,20200924,1242
Westport Fuel Systems Inc,WPRT,1.64,Thursday,12:43,20200924,1242
Silvercorp Metals Inc,SVM,7.08,Thursday,12:43,20200924,1242
Stella Jones Inc,SJ,6.08,Thursday,12:43,20200924,1242
CI First Asset US Trendleaders ETF,SID,2.855,Thursday,12:43,20200924,1242
Suncor Energy Inc,SU,12.64,Thursday,12:43,20200924,1242
Tmx Group Limited,X,7.1,Thursday,12:43,20200924,1242
